#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3044.1727229	2.4059298728619888e-17	2.4059298728619888e-17	6.041210214879001e-16
3044.37270635	4.639778315454942e-19	4.639778315454942e-19	6.00657429641e-16
3044.5726898	-2.256244445113728e-16	-2.256244445113728e-16	5.937555585144e-16
3044.77267326	2.8457257423698853e-16	2.8457257423698853e-16	5.879440531111999e-16
3044.97265671	-4.713852091411514e-17	-4.713852091411514e-17	5.218320716063998e-16
3045.17264016	1.9427219308533112e-16	1.9427219308533112e-16	5.608028653812e-16
3045.37262361	2.9742219545301417e-17	2.9742219545301417e-17	5.578284859267999e-16
3045.57360698	1.1775611389931872e-16	1.1775611389931872e-16	5.255520931401997e-16
3045.77359043	-3.453210605015678e-16	-3.453210605015678e-16	4.980740539392001e-16
3045.97357388	-7.184744285178004e-16	-7.184744285178004e-16	4.648580731135998e-16
3046.17355733	2.9207960012681805e-16	2.9207960012681805e-16	5.374235589623998e-16
3046.37354078	-3.277688973028995e-16	-3.277688973028995e-16	4.722165213311999e-16
3046.57352424	-3.9773405394176594e-16	-3.9773405394176594e-16	4.71311086384e-16
3046.77350769	-6.837617714808631e-17	-6.837617714808631e-17	4.975601692770002e-16
3046.97349114	-2.4759118864986553e-16	-2.4759118864986553e-16	4.649990790647998e-16
3047.17347459	-3.1100396257274417e-16	-3.1100396257274417e-16	4.447996742074e-16
3047.37345804	-1.8719695192641398e-16	-1.8719695192641398e-16	4.492754936848001e-16
3047.57344149	7.226196938087077e-17	7.226196938087077e-17	4.400856452825999e-16
3047.77342494	-8.498286371627506e-18	-8.498286371627506e-18	4.558601264463999e-16
3047.9734084	-5.823103315390371e-16	-5.823103315390371e-16	4.090708981314e-16
3048.17339185	-3.9092569093000963e-16	-3.9092569093000963e-16	4.098964218384001e-16
