wavelength	flux
5645.1	2.6599117e-16
5647.1	2.618493e-16
5649.1	2.5499161e-16
5651.0	2.6200754e-16
5653.0	2.6890097e-16
5655.0	2.6209371e-16
5657.0	2.667283e-16
5659.0	2.6092926e-16
5660.9	2.5543718e-16
5662.9	2.6396363e-16
5664.9	2.7122613e-16
5666.9	2.6328872e-16
5668.9	2.6012746e-16
5670.8	2.6421575e-16
5672.8	2.6444979e-16
5674.8	2.5872196e-16
5676.8	2.5808567e-16
5678.8	2.5771236e-16
5680.7	2.4504962e-16
5682.7	2.5807089e-16
5684.7	2.6807606e-16
5686.7	2.6906741e-16
5688.7	2.8152015e-16
5690.6	2.8430808e-16
5692.6	2.6804265e-16
5694.6	2.6418948e-16
5696.6	2.5580855e-16
5698.6	2.5749761e-16
5700.6	2.6061898e-16
5702.5	2.6541244e-16
5704.5	2.6796238e-16
5706.5	2.5987807e-16
5708.5	2.5249454e-16
5710.5	2.5408586e-16
5712.4	2.7216962e-16
5714.4	2.6940918e-16
5716.4	2.5744225e-16
5718.4	2.5510408e-16
5720.4	2.6348552e-16
5722.3	2.7195059e-16
5724.3	2.5743955e-16
5726.3	2.5137514e-16
5728.3	2.5537076e-16
5730.3	2.5931242e-16
5732.2	2.5387431e-16
5734.2	2.5386012e-16
5736.2	2.6301346e-16
5738.2	2.6105168e-16
5740.2	2.5960942e-16
5742.1	2.6368242e-16
5744.1	2.6684805e-16
5746.1	2.7515975e-16
5748.1	2.6397695e-16
5750.1	2.6402573e-16
5752.0	2.6314867e-16
5754.0	2.6555419e-16
5756.0	2.6132077e-16
5758.0	2.5935944e-16
5760.0	2.7099893e-16
5762.0	2.6282007e-16
5763.9	2.558424e-16
5765.9	2.6392135e-16
5767.9	2.6495313e-16
